c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
192.168.84.55 29735 12736.7333984375 0.0 36 1 19 192.168.84.198 53 12742.275390625 0.0 79 1 19 - - 192.168.84.198@53_192.168.84.55@29735 12736.7333984375 12742.275390625 "1970-01-01 00:00:12.736733398" "1970-01-01 00:00:12.736733398" "1970-01-01 00:00:12.742275391" "1970-01-01 00:00:12.742275391"  DNS 36.00B 79.00B
192.168.84.55 56900 12736.768310546875 0.0 36 1 0 192.168.84.198 53 12809.00048828125 0.0 143 1 0 - - 192.168.84.198@53_192.168.84.55@56900 12736.768310546875 12809.00048828125 "1970-01-01 00:00:12.736768311" "1970-01-01 00:00:12.736768311" "1970-01-01 00:00:12.809000488" "1970-01-01 00:00:12.809000488"  UNKNOWN 36.00B 143.00B
192.168.84.55 58127 12748.782470703125 0.0 36 1 19 192.168.84.198 53 12753.509521484375 0.0 79 1 19 - - 192.168.84.198@53_192.168.84.55@58127 12748.782470703125 12753.509521484375 "1970-01-01 00:00:12.748782471" "1970-01-01 00:00:12.748782471" "1970-01-01 00:00:12.753509521" "1970-01-01 00:00:12.753509521"  DNS 36.00B 79.00B
192.168.84.55 43002 12751.22412109375 0.0 35 1 19 192.168.84.198 53 12808.994140625 0.0 51 1 19 - - 192.168.84.198@53_192.168.84.55@43002 12751.22412109375 12808.994140625 "1970-01-01 00:00:12.751224121" "1970-01-01 00:00:12.751224121" "1970-01-01 00:00:12.808994141" "1970-01-01 00:00:12.808994141"  DNS 35.00B 51.00B
192.168.84.55 21161 12751.29150390625 0.0 35 1 0 192.168.84.198 53 12808.996337890625 0.0 113 1 0 - - 192.168.84.198@53_192.168.84.55@21161 12751.29150390625 12808.996337890625 "1970-01-01 00:00:12.751291504" "1970-01-01 00:00:12.751291504" "1970-01-01 00:00:12.808996338" "1970-01-01 00:00:12.808996338"  UNKNOWN 35.00B 113.00B
192.168.84.55 28657 13062.1533203125 0.0 39 1 19 192.168.84.198 53 13098.94140625 0.0 103 1 19 - - 192.168.84.198@53_192.168.84.55@28657 13062.1533203125 13098.94140625 "1970-01-01 00:00:13.062153320" "1970-01-01 00:00:13.062153320" "1970-01-01 00:00:13.098941406" "1970-01-01 00:00:13.098941406"  DNS 39.00B 103.00B
192.168.84.55 21317 13062.21044921875 0.0 39 1 0 192.168.84.198 53 13102.46044921875 0.0 120 1 0 - - 192.168.84.198@53_192.168.84.55@21317 13062.21044921875 13102.46044921875 "1970-01-01 00:00:13.062210449" "1970-01-01 00:00:13.062210449" "1970-01-01 00:00:13.102460449" "1970-01-01 00:00:13.102460449"  UNKNOWN 39.00B 120.00B
192.168.84.55 20314 13085.7861328125 0.0 53 1 19 192.168.84.198 53 13131.219482421875 0.0 117 1 19 - - 192.168.84.198@53_192.168.84.55@20314 13085.7861328125 13131.219482421875 "1970-01-01 00:00:13.085786133" "1970-01-01 00:00:13.085786133" "1970-01-01 00:00:13.131219482" "1970-01-01 00:00:13.131219482"  DNS 53.00B 117.00B
192.168.84.55 41027 13085.847412109375 0.0 53 1 0 192.168.84.198 53 13117.615478515625 0.0 134 1 0 - - 192.168.84.198@53_192.168.84.55@41027 13085.847412109375 13117.615478515625 "1970-01-01 00:00:13.085847412" "1970-01-01 00:00:13.085847412" "1970-01-01 00:00:13.117615479" "1970-01-01 00:00:13.117615479"  UNKNOWN 53.00B 134.00B
192.168.84.55 51955 13087.012451171875 0.0 63 1 19 192.168.84.198 53 13089.135498046875 0.0 111 1 19 - - 192.168.84.198@53_192.168.84.55@51955 13087.012451171875 13089.135498046875 "1970-01-01 00:00:13.087012451" "1970-01-01 00:00:13.087012451" "1970-01-01 00:00:13.089135498" "1970-01-01 00:00:13.089135498"  DNS 63.00B 111.00B
