c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
fe80::245:e2ff:feb8:eb6d 5353 153686.6318359375 0.0 45 1 0 ff02::fb 5353 0.0 0.0 0 0 0 - - ff02::fb@5353_fe80::245:e2ff:feb8:eb6d@5353 153686.6318359375 0.0 "1970-01-01 00:02:33.686631836" "1970-01-01 00:02:33.686631836" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 45.00B 0B
192.168.84.55 62972 12740.40380859375 0.0 45 1 19 192.168.84.198 53 12799.11181640625 0.0 109 1 19 - - 192.168.84.198@53_192.168.84.55@62972 12740.40380859375 12799.11181640625 "1970-01-01 00:00:12.740403809" "1970-01-01 00:00:12.740403809" "1970-01-01 00:00:12.799111816" "1970-01-01 00:00:12.799111816"  DNS 45.00B 109.00B
192.168.84.55 41914 12740.47216796875 0.0 45 1 0 192.168.84.198 53 12802.406982421875 0.0 129 1 0 - - 192.168.84.198@53_192.168.84.55@41914 12740.47216796875 12802.406982421875 "1970-01-01 00:00:12.740472168" "1970-01-01 00:00:12.740472168" "1970-01-01 00:00:12.802406982" "1970-01-01 00:00:12.802406982"  UNKNOWN 45.00B 129.00B
192.168.84.55 6833 12743.527099609375 0.0 45 1 19 192.168.84.198 53 12814.019775390625 0.0 152 1 19 - - 192.168.84.198@53_192.168.84.55@6833 12743.527099609375 12814.019775390625 "1970-01-01 00:00:12.743527100" "1970-01-01 00:00:12.743527100" "1970-01-01 00:00:12.814019775" "1970-01-01 00:00:12.814019775"  DNS 45.00B 152.00B
192.168.84.55 4924 12743.601806640625 0.0 45 1 0 192.168.84.198 53 12799.113037109375 0.0 166 1 0 - - 192.168.84.198@53_192.168.84.55@4924 12743.601806640625 12799.113037109375 "1970-01-01 00:00:12.743601807" "1970-01-01 00:00:12.743601807" "1970-01-01 00:00:12.799113037" "1970-01-01 00:00:12.799113037"  UNKNOWN 45.00B 166.00B
192.168.84.55 3022 12804.1181640625 0.0 30 1 19 192.168.84.198 53 12862.420166015625 0.0 137 1 19 - - 192.168.84.198@53_192.168.84.55@3022 12804.1181640625 12862.420166015625 "1970-01-01 00:00:12.804118164" "1970-01-01 00:00:12.804118164" "1970-01-01 00:00:12.862420166" "1970-01-01 00:00:12.862420166"  DNS 30.00B 137.00B
192.168.84.55 62857 12804.155029296875 0.0 30 1 0 192.168.84.198 53 12855.8681640625 0.0 150 1 0 - - 192.168.84.198@53_192.168.84.55@62857 12804.155029296875 12855.8681640625 "1970-01-01 00:00:12.804155029" "1970-01-01 00:00:12.804155029" "1970-01-01 00:00:12.855868164" "1970-01-01 00:00:12.855868164"  UNKNOWN 30.00B 150.00B
192.168.84.55 1116 12815.80517578125 0.0 36 1 19 192.168.84.198 53 12862.427001953125 0.0 143 1 19 - - 192.168.84.198@53_192.168.84.55@1116 12815.80517578125 12862.427001953125 "1970-01-01 00:00:12.815805176" "1970-01-01 00:00:12.815805176" "1970-01-01 00:00:12.862427002" "1970-01-01 00:00:12.862427002"  DNS 36.00B 143.00B
192.168.84.55 31434 12815.87109375 0.0 36 1 0 192.168.84.198 53 12862.544189453125 0.0 143 1 0 - - 192.168.84.198@53_192.168.84.55@31434 12815.87109375 12862.544189453125 "1970-01-01 00:00:12.815871094" "1970-01-01 00:00:12.815871094" "1970-01-01 00:00:12.862544189" "1970-01-01 00:00:12.862544189"  UNKNOWN 36.00B 143.00B
192.168.84.55 14172 12815.95703125 0.0 35 1 19 192.168.84.198 53 12875.585205078125 0.0 51 1 19 - - 192.168.84.198@53_192.168.84.55@14172 12815.95703125 12875.585205078125 "1970-01-01 00:00:12.815957031" "1970-01-01 00:00:12.815957031" "1970-01-01 00:00:12.875585205" "1970-01-01 00:00:12.875585205"  DNS 35.00B 51.00B
192.168.84.55 53970 12815.994140625 0.0 35 1 0 192.168.84.198 53 12862.548095703125 0.0 113 1 0 - - 192.168.84.198@53_192.168.84.55@53970 12815.994140625 12862.548095703125 "1970-01-01 00:00:12.815994141" "1970-01-01 00:00:12.815994141" "1970-01-01 00:00:12.862548096" "1970-01-01 00:00:12.862548096"  UNKNOWN 35.00B 113.00B
